Car-Name,Engine,Image,MPG,Seating,Transmission,Power,Drivetrain,Features
2019 FIAT 500,1.4LI-4,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC70FIC011A021001.jpg,28 City / 33 Hwy,4 Passengers,5-spd man w/OD,135 @ 5500 rpm,front-wheel,"['1.4L I-4 Engine', '5-spd man w/OD Transmission', '135 @ 5,500 rpm Horsepower', '150 @ 2,400 rpm Torque', 'front-wheel Drive type', 'ABS and driveline Traction control', '16"" silver aluminum Wheels', 'front air conditioning, manual', 'AM/FM stereo, seek-scan Radio', '2 - 1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'front Fog/driving lights', 'Heated mirrors', 'cloth Seat trim']"
2019 FIAT 500X,1.3LI-4,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC90FIS012B021001.jpg,24 City / 30 Hwy,5 Passengers,9-spd w/OD,177 @ 5500 rpm,all wheel,"['1.3L I-4 Engine', '9-spd w/OD Transmission', '177 @ 5,500 rpm Horsepower', '210 @ 6,500 rpm Torque', 'all wheel Drive type', 'ABS and driveline Traction control', '17"" silver aluminum Wheels', 'front air conditioning, manual', 'AM/FM stereo, seek-scan Radio', '1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'Heated mirrors', 'cloth Seat trim']"
2019 FIAT 124 Spider,1.4LI-4,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC70FIC051A021001_2.jpg,26 City / 35 Hwy,2 Passengers,6-spd man w/OD,160 @ 5500 rpm,rear-wheel,"['1.4L I-4 Engine', '6-spd man w/OD Transmission', '160 @ 5,500 rpm Horsepower', '184 @ 3,200 rpm Torque', 'rear-wheel Drive type', 'ABS and driveline Traction control', '16"" silver aluminum Wheels', 'front air conditioning, manual', 'AM/FM stereo, seek-scan Radio', '1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'manual Convertible top', 'cloth Seat trim']"
2019 FIAT 500c,1.4LI-4,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC70FIC021A021001.jpg,24 City / 32 Hwy,4 Passengers,6-spd auto w/OD,135 @ 5500 rpm,front-wheel,"['1.4L I-4 Engine', '6-spd auto w/OD Transmission', '135 @ 5,500 rpm Horsepower', '150 @ 2,400 rpm Torque', 'front-wheel Drive type', 'ABS and driveline Traction control', '16"" silver aluminum Wheels', 'front air conditioning, manual', 'AM/FM stereo, seek-scan Radio', '2 - 1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'front Fog/driving lights', 'Heated mirrors', 'power Convertible top', 'cloth Seat trim', 'Parking assist']"
2012 Fisker Karma,,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC20FSC011A0101.jpg,55 City / 54 Hwy,4 Passengers,1-spd auto,403 @  rpm,rear-wheel,"['1-spd auto Transmission', '403 @  rpm Horsepower', '959 @  rpm Torque', 'rear-wheel Drive type', 'ABS and driveline Traction control', 'solar panel Sunroof', '22"" silver aluminum Wheels', 'front air conditioning, dual zone automatic', 'driver and front passenger heated-cushion, heated-seatback Heated front seats', 'SiriusXM AM/FM/Satellite, seek-scan Radio', '1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'Heated mirrors', 'leatherette Seat trim', 'driver and passenger Lumbar support', 'Parking assist']"
2019 Ford F-150,3.3LV-6,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC80FOT113A021001.jpg,19 City / 25 Hwy,3 Passengers,6-spd w/OD,290 @ 6500 rpm,rear-wheel,"['3.3L V-6 Engine', '6-spd w/OD Transmission', '290 @ 6,500 rpm Horsepower', '265 @ 4,000 rpm Torque', 'rear-wheel Drive type', 'ABS and driveline Traction control', '17"" silver steel Wheels', 'front air conditioning, manual', 'AM/FM stereo, seek-scan Radio', '2 - 1st row LCD monitor', 'cloth Seat trim']"
2019 Ford Escape,2.5LI-4,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC70FOS131A021001.jpg,21 City / 29 Hwy,5 Passengers,6-spd w/OD,168 @ 6000 rpm,front-wheel,"['2.5L I-4 Engine', '6-spd w/OD Transmission', '168 @ 6,000 rpm Horsepower', '170 @ 4,500 rpm Torque', 'front-wheel Drive type', 'ABS and driveline Traction control', '17"" steel Wheels', 'front air conditioning, manual', 'AM/FM stereo, seek-scan Radio', '1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'cloth Seat trim']"
2019 Ford Explorer,3.5LV-6,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC80FOS101B021001.jpg,17 City / 24 Hwy,7 Passengers,6-spd w/OD,290 @ 6500 rpm,front-wheel,"['3.5L V-6 Engine', '6-spd w/OD Transmission', '290 @ 6,500 rpm Horsepower', '255 @ 4,000 rpm Torque', 'front-wheel Drive type', 'ABS and driveline Traction control', '18"" silver aluminum Wheels', 'front air conditioning, manual', 'rear air conditioning, with separate controls', 'AM/FM/Satellite-prep, seek-scan Radio', '2 - 1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'Heated mirrors', 'cloth Seat trim', 'driver Lumbar support', '50-50 split-bench Third row seats']"
2019 Ford Transit-350,3.7LV-6,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/CAC80FOV355A021001.jpg, City /  Hwy,2 Passengers,6-spd w/OD,275 @ 6000 rpm,rear-wheel,"['3.7L V-6 Engine', '6-spd w/OD Transmission', '275 @ 6,000 rpm Horsepower', '260 @ 4,000 rpm Torque', 'rear-wheel Drive type', 'ABS and driveline Traction control', '16"" silver steel Wheels', 'front air conditioning, manual', 'AM/FM stereo, seek-scan Radio', '1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'vinyl Seat trim']"
2019 Genesis G80,3.8LV-6,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC80GSC011A021001.jpg,18 City / 26 Hwy,5 Passengers,8-spd w/OD,311 @ 6000 rpm,rear-wheel,"['3.8L V-6 Engine', '8-spd w/OD Transmission', '311 @ 6,000 rpm Horsepower', '293 @ 5,000 rpm Torque', 'rear-wheel Drive type', 'ABS and driveline Traction control', '18"" machined w/painted accents aluminum Wheels', 'front air conditioning, dual zone automatic', 'driver and front passenger heated-cushion, heated-seatback Heated front seats', 'SiriusXM AM/FM/HD/Satellite, seek-scan Radio', '2 - 1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'Heated mirrors', 'Windshield wipers - rain sensing', 'leather Seat trim', 'driver and passenger Lumbar support', 'Navigation system']"
